地点,,,,,,,,,,,,,
新天地,田子坊,上海迪士尼,上海海洋水族馆,上海影视乐园,,,,,,,,,
上海迪士尼,上海海洋水族馆,外滩,上海城隍庙,,,,,,,,,,
上海野生动物园,上海科技馆,,,,,,,,,,,,
外滩,上海城隍庙,豫园,,,,,,,,,,,
外滩,上海城隍庙,,,,,,,,,,,,
田子坊,外滩,上海城隍庙,上海博物馆,外滩,,,,,,,,,
田子坊,1933老场坊,上海科技馆,陆家嘴,外滩,上海城隍庙,豫园,南京路步行街,,,,,,
上海自然博物馆,南京路步行街,外滩,上海迪士尼,,,,,,,,,,
上海科技馆,中华艺术宫,外滩,上海城隍庙,,,,,,,,,,
上海城隍庙,田子坊,,,,,,,,,,,,
南京路步行街,上海影视乐园,外滩,上海迪士尼,田子坊,,,,,,,,,
中华艺术宫,上海迪士尼,,,,,,,,,,,,
上海博物馆,田子坊,,,,,,,,,,,,
上海迪士尼,上海城隍庙,南京路步行街,田子坊,南京路步行街,,,,,,,,,
上海城隍庙,外滩,,,,,,,,,,,,
上海城隍庙,豫园,上海城隍庙,,,,,,,,,,,
南京路步行街,外滩,1933老场坊,豫园,田子坊,,,,,,,,,
田子坊,陆家嘴,外滩,1933老场坊,上海迪士尼,,,,,,,,,
豫园,上海城隍庙,外滩,上海迪士尼,上海影视乐园,,,,,,,,,
田子坊,上海迪士尼,豫园,上海城隍庙,外滩,,,,,,,,,
上海博物馆,外滩,上海城隍庙,豫园,1933老场坊,上海迪士尼,南京路步行街,,,,,,,
豫园,外滩,南京路步行街,田子坊,,,,,,,,,,
1933老场坊,上海城隍庙,,,,,,,,,,,,
外滩,1933老场坊,,,,,,,,,,,,
上海城隍庙,外滩,,,,,,,,,,,,
南京路步行街,外滩,陆家嘴,豫园,上海博物馆,上海科技馆,上海海洋水族馆,上海汽车博物馆,1933老场坊,上海电影博物馆,上海迪士尼,,,
外滩,新天地,,,,,,,,,,,,
上海迪士尼,上海城隍庙,,,,,,,,,,,,
外滩,上海博物馆,豫园,上海城隍庙,外滩,南京路步行街,,,,,,,,
田子坊,外滩,上海迪士尼,,,,,,,,,,,
外滩,上海海洋水族馆,外滩,上海迪士尼,,,,,,,,,,
上海博物馆,外滩,上海科技馆,,,,,,,,,,,
外滩,上海博物馆,上海城隍庙,田子坊,,,,,,,,,,
田子坊,陆家嘴,上海迪士尼,南京路步行街,外滩,,,,,,,,,
上海科技馆,上海博物馆,外滩,上海城隍庙,上海博物馆,,,,,,,,,
豫园,外滩,,,,,,,,,,,,
上海博物馆,外滩,,,,,,,,,,,,
田子坊,外滩,上海城隍庙,,,,,,,,,,,
南京路步行街,上海科技馆,上海迪士尼,田子坊,,,,,,,,,,
上海欢乐谷,上海欢乐谷,,,,,,,,,,,,
上海迪士尼,豫园,,,,,,,,,,,,
上海迪士尼,上海城隍庙,豫园,南京路步行街,外滩,田子坊,,,,,,,,
外滩,豫园,,,,,,,,,,,,
上海迪士尼,上海海洋水族馆,上海科技馆,南京路步行街,外滩,,,,,,,,,
田子坊,1933老场坊,上海城隍庙,外滩,南京路步行街,,,,,,,,,
中华艺术宫,南京路步行街,外滩,南京路步行街,田子坊,豫园,,,,,,,,
上海迪士尼,南京路步行街,,,,,,,,,,,,
上海城隍庙,豫园,外滩,上海迪士尼,田子坊,,,,,,,,,
上海迪士尼,田子坊,南京路步行街,外滩,上海城隍庙,,,,,,,,,
上海科技馆,田子坊,外滩,中华艺术宫,上海植物园,,,,,,,,,
田子坊,南京路步行街,外滩,,,,,,,,,,,
1933老场坊,田子坊,豫园,外滩,,,,,,,,,,
上海迪士尼,1933老场坊,上海动物园,,,,,,,,,,,
豫园,田子坊,上海城隍庙,上海城隍庙,上海城隍庙,,,,,,,,,
上海城隍庙,外滩,豫园,,,,,,,,,,,
上海迪士尼,田子坊,中华艺术宫,外滩,,,,,,,,,,
上海城隍庙,外滩,,,,,,,,,,,,
外滩,上海城隍庙,田子坊,,,,,,,,,,,
上海城隍庙,豫园,南京路步行街,,,,,,,,,,,
1933老场坊,田子坊,上海城隍庙,豫园,上海博物馆,外滩,外滩,南京路步行街,,,,,,
外滩,上海城隍庙,,,,,,,,,,,,
田子坊,外滩,1933老场坊,上海城隍庙,,,,,,,,,,
外滩,中华艺术宫,田子坊,,,,,,,,,,,
上海城隍庙,豫园,外滩,上海迪士尼,上海野生动物园,,,,,,,,,
陆家嘴,陆家嘴,陆家嘴,,,,,,,,,,,
1933老场坊,上海城隍庙,田子坊,陆家嘴,外滩,南京路步行街,上海迪士尼,,,,,,,
外滩,上海城隍庙,豫园,,,,,,,,,,,
外滩,田子坊,上海城隍庙,外滩,上海迪士尼,1933老场坊,,,,,,,,
南京路步行街,外滩,上海迪士尼,上海城隍庙,,,,,,,,,,
中华艺术宫,外滩,外滩,,,,,,,,,,,
南京路步行街,外滩,,,,,,,,,,,,
上海城隍庙,上海迪士尼,,,,,,,,,,,,
豫园,上海城隍庙,外滩,田子坊,上海迪士尼,,,,,,,,,
南京路步行街,外滩,上海城隍庙,豫园,田子坊,上海迪士尼,南京路步行街,,,,,,,
外滩,豫园,上海城隍庙,田子坊,,,,,,,,,,
上海影视乐园,上海影视乐园,,,,,,,,,,,,
陆家嘴,外滩,田子坊,外滩,上海城隍庙,豫园,外滩,南京路步行街,田子坊,1933老场坊,田子坊,,,
豫园,外滩,上海迪士尼,,,,,,,,,,,
陆家嘴,1933老场坊,外滩,,,,,,,,,,,
田子坊,外滩,田子坊,1933老场坊,南京路步行街,豫园,田子坊,,,,,,,
外滩,南京路步行街,上海迪士尼,南京路步行街,外滩,外滩,中华艺术宫,中华艺术宫,南京路步行街,豫园,,,,
田子坊,陆家嘴,,,,,,,,,,,,
南京路步行街,上海迪士尼,,,,,,,,,,,,
田子坊,外滩,南京路步行街,1933老场坊,,,,,,,,,,
田子坊,上海科技馆,上海迪士尼,上海城隍庙,,,,,,,,,,
外滩,上海博物馆,田子坊,上海海洋水族馆,1933老场坊,豫园,上海城隍庙,上海迪士尼,,,,,,
上海城隍庙,豫园,田子坊,南京路步行街,外滩,上海迪士尼,,,,,,,,
上海科技馆,上海野生动物园,外滩,,,,,,,,,,,
田子坊,上海博物馆,豫园,,,,,,,,,,,
田子坊,1933老场坊,上海城隍庙,南京路步行街,外滩,,,,,,,,,
外滩,外滩,南京路步行街,陆家嘴,上海城市规划展示馆,陆家嘴,上海城市规划展示馆,中华艺术宫,田子坊,田子坊,田子坊,豫园,上海城隍庙,外滩
上海博物馆,外滩,,,,,,,,,,,,
外滩,上海城隍庙,,,,,,,,,,,,
上海电影博物馆,田子坊,外滩,豫园,,,,,,,,,,
上海城隍庙,豫园,南京路步行街,外滩,上海迪士尼,,,,,,,,,
南京路步行街,南京路步行街,外滩,,,,,,,,,,,
豫园,上海城隍庙,上海迪士尼,田子坊,,,,,,,,,,
田子坊,上海城隍庙,,,,,,,,,,,,
上海城隍庙,上海野生动物园,,,,,,,,,,,,
上海迪士尼,外滩,,,,,,,,,,,,
南京路步行街,外滩,上海欢乐谷,南京路步行街,外滩,陆家嘴,陆家嘴,陆家嘴,,,,,,
